Jednostka pomocnicza;płeć;Wiek 0-17;Wiek 18-59;Wiek 60-64;Wiek 65 i więcej
ANIOŁKI;kobiety;319;1 372;237;481
ANIOŁKI;mężczyźni;374;1 304;177;344
BRĘTOWO;kobiety;561;1 974;382;929
BRĘTOWO;mężczyźni;657;1 921;276;769
BRZEŹNO;kobiety;813;3 361;577;1 801
BRZEŹNO;mężczyźni;774;3 279;442;1 240
CHEŁM;kobiety;5 106;15 238;2 353;4 388
CHEŁM;mężczyźni;5 422;13 410;1 609;3 529
JASIEŃ;kobiety;2 029;5 387;372;670
JASIEŃ;mężczyźni;2 178;4 773;305;555
KOKOSZKI;kobiety;1 122;2 769;303;550
KOKOSZKI;mężczyźni;1 116;2 678;270;494
KRAKOWIEC-GÓRKI ZACHODNIE;kobiety;170;521;98;157
KRAKOWIEC-GÓRKI ZACHODNIE;mężczyźni;185;512;90;144
LETNICA;kobiety;112;362;51;113
LETNICA;mężczyźni;134;381;46;81
MATARNIA;kobiety;488;1 880;271;434
MATARNIA;mężczyźni;526;1 622;250;360
MŁYNISKA;kobiety;162;723;113;499
MŁYNISKA;mężczyźni;169;776;99;305
NOWY PORT;kobiety;726;2 548;551;1 213
NOWY PORT;mężczyźni;793;2 576;394;894
OLIWA;kobiety;995;4 060;698;2 685
OLIWA;mężczyźni;1 097;3 886;589;1 603
OLSZYNKA;kobiety;259;856;149;279
OLSZYNKA;mężczyźni;257;846;146;249
ORUNIA-ŚW.WOJCIECH-LIPCE;kobiety;1 114;3 992;594;1 853
ORUNIA-ŚW.WOJCIECH-LIPCE;mężczyźni;1 122;4 050;530;1 180
OSOWA;kobiety;1 660;4 577;470;1 269
OSOWA;mężczyźni;1 835;4 103;452;1 027
PIECKIIGOWO;kobiety;2 516;7 152;985;3 351
PIECKIIGOWO;mężczyźni;2 617;6 578;595;2 609
PRZERÓBKA;kobiety;255;1 060;206;604
PRZERÓBKA;mężczyźni;309;1 132;182;386
PRZYMORZE MAŁE;kobiety;992;3 921;593;2 738
PRZYMORZE MAŁE;mężczyźni;1 021;3 731;506;1 503
PRZYMORZE WIELKIE;kobiety;1 596;7 015;808;5 911
PRZYMORZE WIELKIE;mężczyźni;1 691;6 691;604;3 377
RUDNIKI;kobiety;93;339;74;109
RUDNIKI;mężczyźni;93;327;55;96
SIEDLCE;kobiety;916;3 505;703;1 893
SIEDLCE;mężczyźni;1 001;3 255;567;1 212
STOGI;kobiety;670;3 039;478;1 594
STOGI;mężczyźni;753;2 905;423;863
STRZYŻA;kobiety;405;1 384;290;809
STRZYŻA;mężczyźni;436;1 310;190;537
SUCHANINO;kobiety;739;2 694;435;1 717
SUCHANINO;mężczyźni;761;2 657;322;1 180
ŚRÓDMIEŚCIE;kobiety;1 675;7 097;1 337;3 892
ŚRÓDMIEŚCIE;mężczyźni;1 790;6 787;1 174;2 198
UJEŚCISKO-ŁOSTOWICE;kobiety;3 048;8 040;647;1 218
UJEŚCISKO-ŁOSTOWICE;mężczyźni;3 280;7 128;510;923
VII DWÓR;kobiety;204;995;130;727
VII DWÓR;mężczyźni;216;832;99;455
WRZESZCZ DOLNY;kobiety;1 600;6 335;1 218;3 167
WRZESZCZ DOLNY;mężczyźni;1 651;5 928;993;2 032
WRZESZCZ GÓRNY;kobiety;1 547;6 003;1 101;3 246
WRZESZCZ GÓRNY;mężczyźni;1 606;5 744;902;2 046
WYSPA SOBIESZEWSKA;kobiety;274;974;172;339
WYSPA SOBIESZEWSKA;mężczyźni;309;879;159;240
WZGÓRZE MICKIEWICZA;kobiety;156;659;125;359
WZGÓRZE MICKIEWICZA;mężczyźni;178;578;92;340
ZASPA MŁYNIEC;kobiety;857;3 126;457;2 761
ZASPA MŁYNIEC;mężczyźni;910;3 017;248;1 889
ZASPA ROZSTAJE;kobiety;887;3 332;570;2 170
ZASPA ROZSTAJE;mężczyźni;988;3 127;294;1 583
ŻABIANKA-WEJHERA-JELITKOWO-TYSIĄCLECIA;kobiety;903;4 130;558;3 567
ŻABIANKA-WEJHERA-JELITKOWO-TYSIĄCLECIA;mężczyźni;986;3 982;435;2 082
GDAŃSK;kobiety;34 969;120 420;18 106;57 493
GDAŃSK;mężczyźni;37 235;112 705;14 025;38 325
